SPK12a	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.480225	69.225000	109.255000	76.736000	69.225000	29.187000	131.755000	91.738000	29.187000	61.720000	51.721000	54.223000	51.721000	94.239000	26.693000	16.687000	16.687000	41.709000	19.188000	111.757000	19.188000	16.687000
0.730950	84.220000	126.752000	104.238000	76.736000	36.706000	156.769000	106.740000	36.706000	74.221000	71.719000	121.756000	54.223000	101.737000	44.203000	31.689000	26.693000	116.753000	96.741000	149.272000	41.709000	19.188000
0.996025	89.236000	146.770000	236.816000	84.220000	179.282000	181.784000	281.850000	91.738000	99.235000	81.739000	189.288000	61.720000	119.254000	134.256000	64.222000	31.689000	124.257000	274.331000	194.305000	96.741000	26.693000
1.590100	216.805000	316.863000	309.366000	89.236000	196.800000	234.315000	351.884000	106.740000	211.802000	184.285000	219.320000	71.719000	159.271000	201.803000	66.723000	44.203000	254.334000	306.864000	199.301000	111.757000	29.187000
2.025675	314.369000	471.962000	334.367000	104.238000	239.318000	299.346000	516.981000	131.755000	229.319000	221.821000	224.302000	74.221000	261.831000	204.304000	206.799000	64.222000	404.415000	346.881000	329.385000	116.753000	31.689000
2.069200	336.882000	549.493000	349.383000	109.255000	331.879000	304.349000	599.523000	156.769000	301.848000	231.820000	379.414000	81.739000	264.332000	256.835000	209.300000	66.723000	409.411000	406.930000	339.384000	124.257000	36.706000
2.080975	389.413000	834.668000	521.991000	126.752000	446.947000	399.412000	617.040000	179.282000	376.899000	296.852000	564.509000	99.235000	279.334000	421.932000	294.350000	94.239000	544.490000	426.928000	431.931000	149.272000	41.709000
2.178175	396.910000	894.703000	526.994000	146.770000	504.481000	449.448000	619.555000	181.784000	594.527000	321.866000	602.045000	121.756000	511.978000	479.459000	384.396000	101.737000	559.506000	441.944000	454.444000	194.305000	44.203000
2.258225	436.948000	1017.280000	707.086000	216.805000	514.480000	464.443000	704.591000	196.800000	684.587000	391.901000	797.153000	184.285000	587.022000	496.976000	386.912000	119.254000	569.512000	506.975000	536.993000	199.301000	51.721000
3.675225	456.946000	1069.810000	814.656000	236.816000	519.476000	489.479000	709.608000	234.315000	702.090000	414.428000	932.218000	189.288000	657.070000	574.508000	411.933000	134.256000	712.103000	524.492000	562.008000	254.334000	54.223000
4.464800	484.462000	1132.340000	837.169000	309.366000	539.494000	582.026000	922.219000	239.318000	949.750000	434.433000	967.246000	211.802000	697.087000	597.028000	416.929000	159.271000	799.654000	844.688000	567.024000	274.331000	61.720000
4.860675	534.491000	1252.490000	897.198000	314.369000	624.558000	604.526000	1004.760000	281.850000	997.264000	694.593000	994.762000	219.320000	884.704000	717.106000	687.088000	201.803000	847.168000	887.199000	577.010000	306.864000	64.222000
5.216350	579.525000	1269.990000	917.217000	316.863000	699.589000	607.041000	1007.280000	299.346000	1204.960000	722.102000	1067.310000	221.821000	909.719000	719.607000	1082.310000	204.304000	1079.810000	892.202000	612.044000	329.385000	66.723000
5.234550	589.524000	1290.010000	952.230000	334.367000	714.590000	827.171000	1059.810000	304.349000	1217.460000	724.603000	1074.820000	224.302000	979.746000	882.203000	1129.840000	206.799000	1184.940000	924.714000	622.043000	339.384000	69.225000
5.258100	682.092000	1402.570000	1057.300000	336.882000	819.666000	919.718000	1077.310000	331.879000	1242.480000	944.733000	1117.350000	229.319000	1044.800000	1097.330000	1134.850000	209.300000	1199.960000	992.268000	832.167000	346.881000	71.719000
5.872525	737.104000	1460.110000	1112.330000	349.383000	899.699000	999.765000	1087.330000	351.884000	1330.020000	1084.820000	1157.430000	231.820000	1099.830000	1122.330000	1159.930000	256.835000	1260.000000	1072.320000	914.715000	404.415000	74.221000
6.112250	902.215000	1462.600000	1192.440000	389.413000	904.716000	1022.280000	1119.840000	399.412000	1355.060000	1109.830000	1164.930000	296.852000	1114.850000	1187.450000	1174.950000	261.831000	1357.540000	1162.430000	957.247000	406.930000	76.736000
6.117975	947.234000	1512.640000	1219.960000	396.910000	907.218000	1089.830000	1234.970000	446.947000	1370.050000	1189.950000	1182.440000	301.848000	1237.470000	1277.490000	1207.460000	264.332000	1397.570000	1167.430000	989.766000	409.411000	81.739000
6.154975	1212.460000	1637.720000	1247.470000	436.948000	1092.310000	1127.350000	1249.980000	449.448000	1372.550000	1194.940000	1197.460000	321.866000	1244.980000	1400.070000	1209.960000	279.334000	1430.090000	1239.980000	1124.850000	426.928000	84.220000
6.479950	1227.480000	1652.710000	1380.060000	456.946000	1107.330000	1222.470000	1425.090000	464.443000	1410.070000	1214.960000	1202.460000	376.899000	1262.490000	1487.620000	1297.510000	294.350000	1552.670000	1317.520000	1254.990000	431.931000	89.236000
6.482700	1305.020000	1692.750000	1395.070000	471.962000	1179.940000	1274.990000	1495.120000	489.479000	1445.100000	1224.970000	1264.990000	379.414000	1272.490000	1630.200000	1350.040000	384.396000	1602.680000	1415.070000	1292.510000	441.944000	91.738000
6.484350	1360.050000		1452.600000	484.462000	1229.980000	1300.000000	1505.130000	504.481000	1467.600000	1257.490000	1332.520000	391.901000	1405.070000	1640.220000	1352.540000	386.912000	1687.730000	1450.110000	1412.570000	454.444000	94.239000
6.498825	1390.070000		1477.620000	521.991000	1295.010000	1325.030000	1545.150000	514.480000	1520.130000	1280.010000	1362.560000	414.428000	1407.570000		1455.100000	411.933000	1690.250000	1497.630000	1472.620000	506.975000	96.741000
6.524775	1470.100000		1492.620000	526.994000	1322.520000	1377.560000	1635.220000	516.981000	1672.730000	1310.020000	1367.560000	434.433000	1422.590000		1527.650000	416.929000	1702.750000	1525.140000	1482.620000	524.492000	99.235000
6.540750	1480.120000		1582.680000	534.491000	1387.560000	1432.590000	1660.220000	519.476000		1312.530000	1517.630000	564.509000	1485.120000		1530.150000	421.932000		1550.150000	1510.140000	536.993000	101.737000
6.579000	1507.630000		1625.200000	549.493000	1420.090000	1447.610000		539.494000		1315.020000	1522.650000	594.527000	1595.190000		1555.170000	479.459000		1562.670000	1575.180000	544.490000	104.238000
6.857550	1532.650000		1665.230000	579.525000	1475.120000	1542.670000		582.026000		1365.060000	1675.230000	602.045000	1655.210000		1560.160000	496.976000		1585.190000	1597.690000	559.506000	106.740000
